customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00001,Female,0,No,No,15,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,34.64,519.6,No
C00002,Male,0,No,No,24,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),95.56,2293.44,Yes
C00003,Male,0,Yes,Yes,30,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),24.25,727.5,Yes
C00004,Male,0,Yes,No,58,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,30.5,1769.0,No
C00005,Female,0,No,Yes,59,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),77.99,4601.41,Yes
C00006,Female,1,Yes,No,15,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),81.92,1228.8,No
C00007,Female,0,No,No,55,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),118.83,6535.65,No
C00008,Male,1,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,61.94,433.58,Yes
C00009,Male,1,Yes,Yes,60,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),89.43,5365.8,No
C00010,Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,97.9,195.8,No
C00011,Male,0,Yes,Yes,8,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),52.41,419.28,No
C00012,Male,0,No,Yes,4,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),26.23,104.92,Yes
C00013,Female,0,No,Yes,54,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),20.63,1114.02,No
C00014,Male,0,Yes,Yes,62,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,38.53,2388.86,No
C00015,Female,0,No,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,72.77,4511.74,No
C00016,Female,0,No,Yes,53,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,91.07,4826.71,No
C00017,Female,0,No,No,41,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.93,1063.13,Yes
C00018,Male,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,104.06,936.54,Yes
C00019,Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),63.92,703.12,No
C00020,Female,0,No,No,5,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,38.53,192.65,No
C00021,Female,1,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),81.46,5865.12,Yes
C00022,Female,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),72.76,4511.12,No
C00023,Female,0,No,No,35,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),29.44,1030.4,Yes
C00024,Female,0,Yes,Yes,1,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,34.43,34.43,Yes
C00025,Male,0,No,Yes,27,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,30.45,822.15,No
C00026,Female,0,No,No,51,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),52.2,2662.2,No
C00027,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),113.53,454.12,Yes
C00028,Male,0,No,Yes,43,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),64.21,2761.03,No
C00029,Female,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,115.08,3222.24,No
C00030,Female,0,Yes,Yes,6,Yes,No,No,No,No,No,No,No,No,Two year,No,Electronic check,29.13,174.78,No
C00031,Male,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,87.75,5440.5,No
C00032,Male,1,Yes,Yes,62,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,57.7,3577.4,No
C00033,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,50.49,151.47,No
C00034,Female,0,No,Yes,37,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,33.85,1252.45,No
